LatteSalute,1244,1386097,,,,
IAmNotThePresidentBecause,1240,1387337,,,,
SAVELENIN,1238,1388575,,,,
ells,1230,1389805,,,,
ella,1230,1391035,,,,
2017SurvivalTips,1229,1392264,,,,
G20,1226,1393490,,,,
ThingsDoneByMistake,1224,1394714,,,,
Detroit,1223,1395937,,,,
RememberYourHeroes,1223,1397160,,,,
PizzaGate,1223,1398383,,,,
badday,1222,1399605,,,,
iTunes,1220,1400825,,,,
RAPStationRadio,1219,1402044,,,,
happy,1215,1403259,,,,
BREAKING,1211,1404470,,,,
TheHammer,1210,1405680,,,,
Hannity,1203,1406883,,,,
TrumpBecause,1201,1408084,,,,
IWouldPreferToForget,1201,1409285,,,,
MyFarewellWordsWouldBe,1199,1410484,,,,
Charlottesville,1198,1411682,,,,
KeepBannon,1197,1412879,,,,
ste,1192,1414071,,,,
Milwaukee,1189,1415260,,,,
GOP,1186,1416446,,,,
Brexit,1185,1417631,,,,
ConfirmGorsuch,1181,1418812,,,,
hate,1180,1419992,,,,
HowToMakeAManGay,1176,1421168,,,,
ObamaLameDuck,1176,1422344,,,,
EU,1168,1423512,,,,
lonely,1164,1424676,,,,
faith,1162,1425838,,,,
IfIWereYourMom,1159,1426997,,,,
2016ElectionIn3Words,1159,1428156,,,,
MyUselessSuperpower,1159,1429315,,,,
Deutschland,1153,1430468,,,,
hope,1152,1431620,,,,
SethRich,1150,1432770,,,,
law,1149,1433919,,,,
dannis,1148,1435067,,,,
danita,1148,1436215,,,,
ICelebrateTrumpWith,1147,1437362,,,,
IfIWereTedCruz,1147,1438509,,,,
dagr8fm,1141,1439650,,,,
job,1136,1440786,,,,
alone,1134,1441920,,,,
cadens,1120,1443040,,,,
canden,1119,1444159,,,,
Entertainment,1119,1445278,,,,
nice,1116,1446394,,,,
fucktheworld,1111,1447505,,,,
sadness,1111,1448616,,,,
laww,1109,1449725,,,,
damnit,1108,1450833,,,,
Memphis,1105,1451938,,,,
ThingsNotTaughtAtSchool,1104,1453042,,,,
likeit,1103,1454145,,,,
stopptTerror,1102,1455247,,,,
blm,1101,1456348,,,,
dumb,1099,1457447,,,,
racism,1095,1458542,,,,
smart,1094,1459636,,,,
awesome,1093,1460729,,,,
jobb,1090,1461819,,,,
NoCanada,1089,1462908,,,,
pretty,1085,1463993,,,,
DirtyRice,1084,1465077,,,,
justo,1082,1466159,,,,
NRA,1079,1467238,,,,
evas,1079,1468317,,,,
eevan,1079,1469396,,,,
iv,1075,1470471,,,,
iva,1075,1471546,,,,
IHateItWhen,1072,1472618,,,,
sunny,1071,1473689,,,,
SoundCloud,1070,1474759,,,,
kind,1067,1475826,,,,
RAPCORE,1060,1476886,,,,
dear,1060,1477946,,,,
LockHerUp,1054,1479000,,,,
ff,1048,1480048,,,,
ReasonsToLeaveEU,1048,1481096,,,,
SaveDonbassPeople,1041,1482137,,,,
OscarForMuhammad,1032,1483169,,,,
arre,1030,1484199,,,,
dailyteen,1030,1485229,,,,
ara,1030,1486259,,,,
normal,1023,1487282,,,,
alis,1022,1488304,,,,
lis,1022,1489326,,,,
Islam,1019,1490345,,,,
ThingsIWontBelieve,1018,1491363,,,,
johnnywinter,1017,1492380,,,,
PresidentTrump,1010,1493390,,,,
Oscars,1008,1494398,,,,
BTP,1004,1495402,,,,
np,996,1496398,,,,
targets,993,1497391,,,,
Israel,992,1498383,,,,
opiceisis,988,1499371,,,,
kah,987,1500358,,,,
ka,987,1501345,,,,
iceisis,986,1502331,,,,
mayy,982,1503313,,,,
HappyObama,978,1504291,,,,
Periscope,974,1505265,,,,
COSProject,962,1506227,,,,
WednesdayWisdom,960,1507187,,,,
ReasonIAmNotASuperhero,959,1508146,,,,
FollowTheWhiteRabbit,959,1509105,,,,
national,955,1510060,,,,
WearHoodieForTrayvon,955,1511015,,,,
My2017Resolution,952,1511967,,,,
